sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
3,CN,2,pub,1,1,1,uh,0.124,0.138
3,CN,2,kit,3,0,2,ih,0.097,0.103
3,CN,2,ped,1,1,2,eh,0.108,0.148
3,CN,2,cap,3,0,1,ae,0.084,0.177
3,CN,2,kip,3,0,1,ih,0.093,0.089
3,CN,2,peck,1,0,3,eh,0.099,0.097
3,CN,2,pet,1,0,2,eh,0.078,0.106
3,CN,2,tab,2,1,1,ae,0.146,0.185
3,CN,2,pog,1,1,3,aw,0.114,0.211
3,CN,2,tap,2,0,1,ae,0.1,0.154
3,CN,2,cad,3,1,2,ae,0.09,0.214
3,CN,2,cob,3,1,1,aw,0.102,0.235
3,CN,1,pack,1,0,3,ae,0.083,0.158
3,CN,1,pup,1,0,1,uh,0.057,0.081
3,CN,1,cat,3,0,2,ae,0.086,0.184
3,CN,1,tup,2,0,1,uh,0.062,0.103
3,CN,1,cog,3,1,3,aw,0.096,0.206
3,CN,1,puck,1,0,3,uh,0.063,0.132
3,CN,1,pig,1,1,3,ih,0.101,0.138
3,CN,1,kick,3,0,3,ih,0.066,0.103
3,CN,1,tug,2,1,3,uh,0.084,0.155
3,CN,1,cub,3,1,1,uh,0.104,0.151
3,CN,1,tub,2,1,1,uh,0.109,0.143
3,CN,1,keg,3,1,3,eh,0.128,0.136
3,CN,1,tib,2,1,1,ih,0.084,0.126
3,CN,1,pat,1,0,2,ae,0.117,0.171
3,CN,1,top,2,0,1,aw,0.104,0.165
3,CN,1,cud,3,1,2,uh,0.095,0.159
3,CN,1,pap,1,0,1,ae,0.11,0.146
3,CN,1,tip,2,0,1,ih,0.073,0.091
3,CN,1,cod,3,1,2,aw,0.105,0.222
3,CN,1,pick,1,0,3,ih,0.059,0.098
3,CN,1,tot,2,0,2,aw,0.099,0.185
3,CN,1,pep,1,0,1,eh,0.074,0.082
3,CN,1,tat,2,0,2,ae,0.116,0.148
3,CN,1,cack,3,0,3,ae,0.095,
3,CN,1,peg,1,1,3,eh,0.101,0.142
3,CN,1,tuck,2,0,3,uh,0.073,0.105
3,CN,1,pop,1,0,1,aw,0.094,0.144
3,CN,1,cup,3,0,1,uh,0.088,0.098
3,CN,1,tech,2,0,3,eh,0.085,0.074
3,CN,1,pad,1,1,2,ae,0.096,0.214
3,CN,1,putt,1,0,2,uh,0.072,0.126
3,CN,1,cut,3,0,2,uh,0.079,0.12
3,CN,1,Todd,2,1,2,aw,0.117,0.179
3,CN,1,cot,3,0,2,aw,0.092,0.185
3,CN,1,talk,2,0,3,aw,0.098,0.16
3,CN,1,Ted,2,1,2,eh,0.085,0.168
3,CN,1,tut,2,0,2,uh,0.031,0.135
3,CN,1,pug,1,1,3,uh,0.128,0.216
3,CN,1,pot,1,0,2,aw,0.105,0.163
3,CN,1,cop,3,0,1,aw,0.099,0.149
3,CN,1,pit,1,0,2,ih,0.103,0.078
3,CN,1,pod,1,1,2,aw,0.124,0.207
3,CN,1,kid,3,1,2,ih,0.174,0.147
3,CN,1,tog,2,1,3,aw,0.103,0.205
3,CN,1,tag,2,1,3,ae,0.068,0.236
3,CN,1,tack,2,0,3,ae,0.057,0.194
3,CN,1,cab,3,1,1,ae,0.117,0.215
3,CN,1,pock,1,0,3,aw,0.098,0.137
3,CN,1,tad,2,1,2,ae,0.101,0.225
3,CN,1,pub,1,1,1,uh,0.104,0.142
3,CN,1,kit,3,0,2,ih,0.098,0.102
3,CN,1,ped,1,1,2,eh,0.085,0.158
3,CN,1,cap,3,0,1,ae,0.07,0.167
3,CN,1,kip,3,0,1,ih,0.099,0.097
3,CN,1,peck,1,0,3,eh,0.104,0.109
3,CN,1,pet,1,0,2,eh,0.092,0.11
3,CN,1,tab,2,1,1,ae,0.142,0.198
3,CN,1,pog,1,1,3,aw,0.11,0.224
3,CN,1,tap,2,0,1,ae,0.083,0.164
3,CN,1,cad,3,1,2,ae,0.07,0.236
3,CN,1,cob,3,1,1,aw,0.112,0.248
4,SP,1,pack,1,0,3,ae,0.057,0.122
4,SP,1,pup,1,0,1,uh,0.044,0.088
4,SP,1,cat,3,0,2,ae,0.077,0.134
4,SP,1,tup,2,0,1,uh,0.053,0.097
4,SP,1,cog,3,1,3,aw,0.12,0.187
4,SP,1,puck,1,0,3,uh,0.044,0.095
4,SP,1,pig,1,1,3,ih,0.066,0.133
4,SP,1,kick,3,0,3,ih,0.06,0.081
4,SP,1,tug,2,1,3,uh,0.081,0.134
4,SP,1,cub,3,1,1,uh,0.119,0.167
4,SP,1,tub,2,1,1,uh,0.096,0.175
4,SP,1,keg,3,1,3,eh,0.093,0.15
4,SP,1,tib,2,1,1,ih,0.07,0.163
4,SP,1,pat,1,0,2,ae,,
4,SP,1,top,2,0,1,aw,0.077,0.148
4,SP,1,cud,3,1,2,uh,0.073,0.137
4,SP,1,pap,1,0,1,ae,0.052,0.149
4,SP,1,tip,2,0,1,ih,0.048,0.095
4,SP,1,cod,3,1,2,aw,0.08,0.198
4,SP,1,pick,1,0,3,ih,0.043,0.077
4,SP,1,tot,2,0,2,aw,0.067,0.157
4,SP,1,pep,1,0,1,eh,0.05,0.092
4,SP,1,tat,2,0,2,ae,0.078,0.157
4,SP,1,cack,3,0,3,ae,0.085,0.15
4,SP,1,peg,1,1,3,eh,0.075,0.118
4,SP,1,tuck,2,0,3,uh,0.089,0.082
4,SP,1,pop,1,0,1,aw,0.069,0.132
4,SP,1,cup,3,0,1,uh,0.045,0.096
4,SP,1,tech,2,0,3,eh,0.057,0.114
4,SP,1,pad,1,1,2,ae,0.091,0.221
4,SP,1,putt,1,0,2,uh,0.026,0.121
4,SP,1,cut,3,0,2,uh,0.052,0.106
4,SP,1,todd,2,1,2,aw,0.126,0.221
4,SP,1,cot,3,0,2,aw,0.098,0.124
4,SP,1,talk,2,0,3,aw,0.083,0.124
4,SP,1,ted,2,1,2,eh,0.09,0.159
4,SP,1,tut,2,0,2,uh,0.037,0.115
4,SP,1,pug,1,1,3,uh,0.061,0.158
