"","Participant.Private.ID","Display","Response","Correct","Spreadsheet..sent","Spreadsheet..sent_1","Spreadsheet..word_1","Spreadsheet..card_1","Spreadsheet..card_2","Spreadsheet..corr_1","Spreadsheet..cons","Spreadsheet..vowel","Spreadsheet..target"
"130",14171928,"Trials_blk1","audio started",1,"Kat has a tag that read ___","mib_sent.mp3","mib_word.mp3","mib","bib","mib","m","i",0
"131",14171928,"Trials_blk1","audio finished",1,"Kat has a tag that read ___","mib_sent.mp3","mib_word.mp3","mib","bib","mib","m","i",0
"132",14171928,"Trials_blk1","",1,"Kat has a tag that read ___","mib_sent.mp3","mib_word.mp3","mib","bib","mib","m","i",0
"133",14171928,"Trials_blk1","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","kep","keb","kep","k","e",1
"134",14171928,"Trials_blk1","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","kep","keb","kep","k","e",1
"135",14171928,"Trials_blk1","kep",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","kep","keb","kep","k","e",1
"136",14171928,"Trials_blk1","",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","kep","keb","kep","k","e",1
"137",14171928,"Trials_blk1","audio started",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","kep","keb","kep","k","e",1
"138",14171928,"Trials_blk1","audio finished",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","kep","keb","kep","k","e",1
"139",14171928,"Trials_blk1","",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","kep","keb","kep","k","e",1
"140",14171928,"Trials_blk1","audio started",0,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"141",14171928,"Trials_blk1","audio finished",0,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"142",14171928,"Trials_blk1","kack",0,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"143",14171928,"Trials_blk1","",0,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"144",14171928,"Trials_blk1","audio started",1,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"145",14171928,"Trials_blk1","audio finished",1,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"146",14171928,"Trials_blk1","",1,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"147",14171928,"Trials_blk1","audio started",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"148",14171928,"Trials_blk1","audio finished",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"149",14171928,"Trials_blk1","pip",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"150",14171928,"Trials_blk1","",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"151",14171928,"Trials_blk1","audio started",1,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"152",14171928,"Trials_blk1","audio finished",1,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"153",14171928,"Trials_blk1","",1,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"154",14171928,"Trials_blk1","audio started",0,"Peg has a tot that said ___","ki_150_sent.mp3","ki_150_word.mp3","kip","kib","kib","k","i",1
"155",14171928,"Trials_blk1","audio finished",0,"Peg has a tot that said ___","ki_150_sent.mp3","ki_150_word.mp3","kip","kib","kib","k","i",1
"156",14171928,"Trials_blk1","kip",0,"Peg has a tot that said ___","ki_150_sent.mp3","ki_150_word.mp3","kip","kib","kib","k","i",1
"157",14171928,"Trials_blk1","",0,"Peg has a tot that said ___","ki_150_sent.mp3","ki_150_word.mp3","kip","kib","kib","k","i",1
"158",14171928,"Trials_blk1","audio started",1,"Peg has a tot that said ___","ki_150_sent.mp3","ki_150_word.mp3","kip","kib","kib","k","i",1
"159",14171928,"Trials_blk1","audio finished",1,"Peg has a tot that said ___","ki_150_sent.mp3","ki_150_word.mp3","kip","kib","kib","k","i",1
"160",14171928,"Trials_blk1","",1,"Peg has a tot that said ___","ki_150_sent.mp3","ki_150_word.mp3","kip","kib","kib","k","i",1
"161",14171928,"Trials_blk1","audio started",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",1
